@relation artiset
@attribute atr1 real [0.0, 1.0]
@attribute atr2 real [0.0, 1.0]
@attribute out {0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
@inputs atr1, atr2
@outputs out
@data
0.6721274067830816, 0.5446576803262305, 5
0.5782143615527712, 0.43295410730074235, 5
0.4211702400729166, 0.12884051041850197, 3
0.32578499762551394, 0.9949802254178658, 7
0.3305495276368622, 0.7841636817901809, 5
0.5611086113327907, 0.7253456125202685, 6
0.8546886247675202, 0.8151995392298687, 8
0.6944418625656524, 0.4258900665304307, 5
0.8547043635694909, 0.28409417345716015, 5
0.4912738519952372, 0.5594638437016529, 5
0.28718308953938454, 0.8619705809549227, 6
0.2558301522928479, 0.3217873640008626, 2
0.3627846130621303, 0.63803929224156, 5
0.07009134778262605, 0.8838485154126386, 4
0.200969531483697, 0.694351504246269, 4
0.726941047826476, 0.6747208731822245, 6
0.7063017814481011, 0.3201023562218931, 5
0.17595768364770636, 0.9473502343335423, 6
0.7079557431970078, 0.017978049181692102, 4
0.35091535492218684, 0.7853565856206915, 5
0.11539176883516544, 0.43416499206788994, 2
0.14427845896777103, 0.8964517436661172, 5
0.4136696117487546, 0.3440408516489263, 3
0.6486939756296051, 0.5083909385774432, 5
0.5445475850335197, 0.9668425330005872, 8
0.6605346667034885, 0.5030338712235409, 5
0.6030654650658971, 0.6826937539511228, 6
0.04431313719307017, 0.18596886424156545, 0
0.9625337966895673, 0.7778105324688401, 8
0.389329827064377, 0.6536580623940783, 5
0.8084226945663208, 0.6624457052750689, 7
0.30901414514109526, 0.9470914928905978, 7
0.7530662090999192, 0.4598886061222519, 5
0.021183323024847378, 0.868074664925678, 3
0.11307826830233425, 0.027894142016561263, 1
0.6755642765093293, 0.4216456997282826, 5
0.9188469034213578, 0.9388228308582942, 9
0.3667592855081424, 0.03689798804360522, 3
0.5921821742120179, 0.5554418292805097, 5
0.9391346002800893, 0.0017738730394960545, 4
0.35604397081310146, 0.7226319266032389, 5
0.22531045162710128, 0.5379253456841703, 3
0.8670490512987729, 0.2748970768984993, 5
0.7277636436022339, 0.5617278248218004, 6
0.010363122007391534, 0.23769190627703685, 0
0.9757651441075934, 0.05739883993140682, 5
0.46242444352485423, 0.32404147855496623, 4
0.7392417543148669, 0.7804728793484305, 7
0.9014330504223688, 0.31447849744738954, 5
0.2020273552543772, 0.5758094803000338, 3
0.22653164607766219, 0.9707690019631101, 6
0.10909730041725685, 0.013686738131314824, 1
0.9980037160248273, 0.2730732249379967, 5
0.09183633356262166, 0.42280628720216484, 1
0.3740826283613321, 0.8748594172409293, 6
0.4660666462625823, 0.21934044839678002, 3
0.3934066870962055, 0.9833445347415328, 7
0.9616232989619584, 0.6950413087196753, 7
0.8519541611436434, 0.7301715041929997, 7
0.1657316879236731, 0.08444907772602206, 1
0.747422178774447, 0.6699896453864399, 6
0.7843164094480657, 0.37692042120586644, 5
0.40145755193964194, 0.8490571951316096, 6
0.39903599573338056, 0.7540003539033179, 6
0.05800074176402725, 0.9013717284559392, 4
0.6631195889814829, 0.03215100934593884, 4
0.73536836620493, 0.5367280785181199, 6
0.4454570056594266, 8.657637449455136E-4, 3
0.5170415057342079, 0.25380173144579166, 4
0.6679411554306298, 0.7369530366188194, 7
0.3654630105322505, 0.9007795236011317, 7
0.7431405147510705, 0.4637281852034939, 5
0.11273417091266258, 0.5234991516989574, 2
0.28248825740949657, 0.7668854960022826, 5
0.9044188008111336, 0.6257233171731454, 6
0.9412835351497042, 0.25922921523184084, 5
0.1286584451922672, 0.6263191086688498, 3
0.9681818741525564, 0.6706981174970867, 7
0.6748270736296876, 0.5486717126540424, 5
0.18564095878868137, 0.04202767258230666, 1
0.47967213389649843, 0.26350540093623076, 3
0.32131552103726846, 0.8734064123950752, 6
0.8276672491488734, 0.8113402125745163, 8
0.2814676020263741, 0.8336078244407842, 5
0.6738486183481801, 0.32939982204512663, 5
0.8480289422916624, 0.9165483137373683, 9
0.16591633879208756, 0.8771087986308204, 5
0.291262195170369, 0.748110888395015, 5
0.7998553712972789, 0.844553343239267, 8
0.6085556096729103, 0.5332356665359411, 5
0.5196543867272075, 0.26088083915936944, 4
0.6477447872394023, 0.6230452550365261, 6
0.3695706622054117, 0.4775729886872069, 4
0.22250992417976778, 0.41106084645154695, 2
0.7354347705301223, 0.19124563248125992, 4
0.15655253194990904, 0.7228991848261513, 4
0.14871362165925195, 0.42334977808647567, 2
0.1365921609584837, 0.7715077002585978, 4
0.3091758340424826, 0.3893612110600424, 3
0.19787959756941575, 0.0012493457422413368, 1
0.4120816326954886, 0.5992875583419586, 5
0.9050052143796625, 0.3648812160205058, 5
0.1265485775964491, 0.26320570480374217, 1
0.11866545797432382, 0.8920733472382396, 5
0.6951002716705972, 0.12429181821044188, 4
0.5164555517310492, 0.6749021874761404, 6
0.8737383552310878, 0.15348807671002818, 5
0.9039794756495239, 0.5371260655190995, 6
0.4307698962337797, 0.9545111401269717, 7
0.9445418413653931, 0.5658731955328957, 6
0.9027102466479584, 0.7637978928885273, 7
0.6078517135848287, 0.8476783302901064, 7
0.59063487845388, 0.10981708477439123, 4
0.4201759676753566, 0.018926161815966736, 3
0.014813803840577289, 0.25017192942195854, 0
0.8597894082875381, 0.6589602834272477, 7
0.5815380456426716, 0.63051005655281, 6
0.7407393609233158, 0.5026068209499605, 5
0.5599464157686967, 0.194732751485183, 4
0.6038988149833698, 0.3996920202079163, 5
0.8982096885417584, 0.9630064907922666, 9
0.4388191968724462, 0.2105112283112689, 3
0.043908199535696246, 0.7518389871709799, 3
0.7415930078001294, 0.7831680972793985, 7
0.7269277871196459, 0.35165913267403615, 5
0.8420036165536025, 0.36545169532885313, 5
0.9029628902515845, 0.7076737494314005, 7
0.3360148092849079, 0.27243610089133885, 3
0.01573654221670351, 0.87216294789727, 3
0.7866756821759603, 0.1769122926227361, 4
0.6831762759039554, 0.7067402784834309, 6
0.17261705270729744, 0.3214370529466476, 2
0.4988106491636749, 0.46109910678802624, 4
0.23032662789143643, 0.6436230331745741, 4
0.312176763630056, 0.5595353083786183, 4
0.3461587266414041, 0.8269050049855623, 6
0.7485872187395569, 0.25792348579160307, 5
0.0918071228548143, 0.08984949817863985, 0
0.3612952547744922, 0.9036684103452661, 7
0.6573069993494167, 0.36550650691337094, 5
0.28248912398659054, 0.44432332325224777, 3
0.8485679953983413, 0.9425022810355594, 9
0.7832860046873373, 0.5928910941134402, 6
0.9780841977497624, 0.6855252125147562, 7
0.7185717358537778, 0.046775530195406145, 4
0.26472787095336936, 0.9036100317998469, 6
0.23755572645297407, 0.6053269476434902, 3
0.06953813028168643, 0.7033896500718286, 3
0.8727327472324184, 0.2046658996274061, 5
0.4523243946073078, 0.9300340479367739, 7
0.9234399974291916, 0.860702790035453, 8
0.4486698445767727, 0.6334913219011947, 5
0.5091004482796279, 0.2858785170306758, 4
0.022037769956873787, 0.17446142138501064, 0
